StationCode,isSWMP,DateTimeStamp,Date,Time,Epoch,TimeFrame,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO23F,F_NO23F,CHLA_N,F_CHLA_N
gndblnut,P,4/25/2005 19:01,4/25/2005,19:01,ME1,E1A,1,1,,4.332,<4>  A                   ,0.09,<4>  ,0.021,<4>  ,0.5,<4>  B                   
gndblnut,P,4/25/2005 19:01,4/25/2005,19:01,ME1,E1A,1,2,,4.242,<4>  A                   ,0.046,<4>  ,0.02,<4>  ,0.5,<4>  B                   
gndbcnut,P,4/25/2005 19:13,4/25/2005,19:13,ME1,E1A,1,1,,0.427,<4>  ,0.051,<4>  ,0.018,<4>  ,0.5,<4>  B                   
gndbcnut,P,4/25/2005 19:13,4/25/2005,19:13,ME1,E1A,1,2,,0.425,<4>  ,0.028,<4>  ,0.021,<4>  ,0.5,<4>  B                   
gndcrnut  ,P,4/25/2005 19:36,4/25/2005,19:36,ME1,E1A,1,1,,0.2,<4>  ,0.015,<4>  ,0.026,<4>  ,0.5,<4>  B                   
gndcrnut  ,P,4/25/2005 19:36,4/25/2005,19:36,ME1,E1A,1,2,,0.164,<4>  ,0.072,<4>  ,0.023,<4>  ,0.5,<4>  B                   
gndbhnut,P,4/25/2005 19:51,4/25/2005,19:51,ME1,E1A,1,1,,0.01,<4>  B                   ,0.37,<4>  ,0.096,<4>  ,0.5,<4>  B                   
gndbhnut,P,4/25/2005 19:51,4/25/2005,19:51,ME1,E1A,1,2,,0.01,<4>  B                   ,0.012,<4>  ,0.032,<4>  ,0.5,<4>  B                   
gndbhnut,P,4/25/2005 19:56,4/25/2005,19:56,ME1,E1A,1,1,,0.01,<4>  B                   ,0.053,<4>  ,0.032,<4>  ,0.5,<4>  B                   
gndbhnut,P,4/25/2005 19:56,4/25/2005,19:56,ME1,E1A,1,2,,0.01,<4>  B                   ,0.043,<4>  ,0.028,<4>  ,0.5,<4>  B                   
gndbnnut,S,5/23/2005 18:43,5/23/2005,18:43,ME1,E1A,1,1,,0.882,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,5/23/2005 18:43,5/23/2005,18:43,ME1,E1A,1,2,,0.862,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,5/23/2005 18:54,5/23/2005,18:54,ME1,E1A,1,1,,0.505,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,5/23/2005 18:54,5/23/2005,18:54,ME1,E1A,1,2,,0.509,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,5/23/2005 19:09,5/23/2005,19:09,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,5/23/2005 19:09,5/23/2005,19:09,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndcrnut  ,P,5/23/2005 19:27,5/23/2005,19:27,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndcrnut  ,P,5/23/2005 19:27,5/23/2005,19:27,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,5/23/2005 20:08,5/23/2005,20:08,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,5/23/2005 20:08,5/23/2005,20:08,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
